classification,Side,trades,gross_pnl,avg_pnl
Extreme Fear,BUY,10935,373043.441701,34.11462658445359
Extreme Fear,SELL,10465,366066.806789,34.9801057610129
Extreme Greed,BUY,17940,188350.754579,10.498927234057971
Extreme Greed,SELL,22052,2526820.556094,114.58464339261745
Fear,BUY,30270,1935073.439058,63.92710403230922
Fear,SELL,31567,1422082.002584,45.04964052916019
Greed,BUY,24576,614456.584204,25.002302417154947
Greed,SELL,25727,1535672.688747,59.6910906342364
Neutral,BUY,18969,554415.09155,29.227428517581316
Neutral,SELL,18717,738505.584,39.45640775765347
